model_id_nativeness,model_comparison_id,analysis_group,nativeness_var,site_id,species_response,time_series,analysis_group_category,exclusion,random_effect,min_refs,n_levels,min_obs,max_obs,max_refs,formula_nativeness,formula_null,model_path_nativeness,model_path_null,i2_nativeness,i2_null,BIC_nativeness,BIC_null,min_sigma_nativeness,min_sigma_null,sum_sigma_nativeness,sum_sigma_null,model_id_null,overfit,min_BIC,delta_BIC,preferred_model,LRT,LRT_pval,I2_star,R2_cond,prop_variance_reduced
"model_553","Bird_Abundance_Invasive","Bird_Abundance","Invasive","no","no","no","Vertebrates","!is.na(Invasive) & analysis_group == 'Bird_Abundance'","list(~1 | Citation / data_point_ID)",3,2,19,92,9," ~ Invasive"," ~ 1","outputs/revision/models/model_553.Rds","outputs/revision/models/model_33.Rds",77.5856927396493,78.5721375313636,256.734248709311,254.532916258161,0.00458769236422128,0.0108140903860687,0.20091680335747,0.212830187593922,"model_33","no",249.978012004756,6.75623670455516,"no",2.50819775016248,0.113255387736442,1.68225071223264,4.44274335679778,0.0559760077794161
"model_554","Bird_Abundance_Invasive","Bird_Abundance","Invasive","no","no","yes","Vertebrates","!is.na(Invasive) & analysis_group == 'Bird_Abundance'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",3,2,19,92,9," ~ Invasive"," ~ 1","outputs/revision/models/model_554.Rds","outputs/revision/models/model_34.Rds",63.9019484172934,65.8302805940657,261.443778910693,259.242446459474,0.00458758543309162,0.01081408934437,0.102751998558274,0.111822141119795,"model_34","no",249.978012004756,11.4657669059364,"no",2.50819775009364,0.11325538774139,1.68224837488054,4.44274577591644,0.081112224025508
"model_555","Bird_Abundance_Invasive","Bird_Abundance","Invasive","no","yes","no","Vertebrates","!is.na(Invasive) & analysis_group == 'Bird_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID)",3,2,19,92,9," ~ Invasive"," ~ 1","outputs/revision/models/model_555.Rds","outputs/revision/models/model_35.Rds",85.841377639721,85.905815234095,249.978012004756,245.864151117474,0.00704015754591147,0.00461163078275844,0.351913250198446,0.35377416369727,"model_35","no",249.978012004756,0,"yes",0.595669314029863,0.44023516588638,1.23195977109606,1.9068334144825,0.00526017355076438
"model_556","Bird_Abundance_Invasive","Bird_Abundance","Invasive","no","yes","yes","Vertebrates","!is.na(Invasive) & analysis_group == 'Bird_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",3,2,19,92,9," ~ Invasive"," ~ 1","outputs/revision/models/model_556.Rds","outputs/revision/models/model_36.Rds",85.4544201527952,85.5258692581277,254.687542206025,250.573681317787,0.00704037456334578,0.00461209587524337,0.341007108010489,0.342963984145375,"model_36","no",249.978012004756,4.70953020126845,"no",0.59566931307495,0.440235166252837,1.23196552342711,1.90683827122814,0.00570577735665876
"model_557","Bird_Abundance_Invasive","Bird_Abundance","Invasive","yes","no","no","Vertebrates","!is.na(Invasive) & analysis_group == 'Bird_Abundance'","list(~1 | Citation / data_point_ID, ~1 | site_id)",3,2,19,92,9," ~ Invasive"," ~ 1","outputs/revision/models/model_557.Rds","outputs/revision/models/model_37.Rds",77.6127713073397,78.5931020385801,261.275478986729,258.653631423974,8.56531847138344e-10,9.81482714929823e-10,0.201230030919832,0.213095462139488,"model_37","no",249.978012004756,11.2974669819725,"no",2.08768263855808,0.148491164860052,1.59487158900874,4.21542713342898,0.0556812946673095
"model_558","Bird_Abundance_Invasive","Bird_Abundance","Invasive","yes","no","yes","Vertebrates","!is.na(Invasive) & analysis_group == 'Bird_Abundance'","list(~1 | Citation / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,19,92,9," ~ Invasive"," ~ 1","outputs/revision/models/model_558.Rds","outputs/revision/models/model_38.Rds",64.2597130579869,66.3598189507128,265.985009196128,263.363161617185,1.17571512143663e-09,7.3248098442825e-10,0.104361589642807,0.114496016708195,"model_38","no",249.978012004756,16.0069971913721,"no",2.0876826223695,0.148491166433862,1.59487399383366,4.21542911829196,0.0885133593006693
"model_559","Bird_Abundance_Invasive","Bird_Abundance","Invasive","yes","yes","no","Vertebrates","!is.na(Invasive) & analysis_group == 'Bird_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id)",3,2,19,92,9," ~ Invasive"," ~ 1","outputs/revision/models/model_559.Rds","outputs/revision/models/model_39.Rds",85.8390135731547,85.9219888031651,254.535917597579,250.336906414276,1.7717540526973e-09,9.63111941238887e-10,0.351844810965279,0.354247280215017,"model_39","no",249.978012004756,4.55790559282238,"no",0.510519018009859,0.474914263445356,1.10079919607662,1.70761483510564,0.0067818989274387
"model_560","Bird_Abundance_Invasive","Bird_Abundance","Invasive","yes","yes","yes","Vertebrates","!is.na(Invasive) & analysis_group == 'Bird_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,19,92,9," ~ Invasive"," ~ 1","outputs/revision/models/model_560.Rds","outputs/revision/models/model_40.Rds",85.4523588823218,85.5434179337635,259.245447784557,255.046436621555,9.24734752355975e-10,1.23318805893002e-09,0.340950565992619,0.343450760797543,"model_40","no",249.978012004756,9.26743577980071,"no",0.510519038310804,0.474914254663981,1.10079919190842,1.70761501832449,0.00727963099897458
"model_561","Bird_Diversity_Herbivore_nativeness","Bird_Diversity","Herbivore_nativeness","no","no","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Bird_Diversity'","list(~1 | Citation / data_point_ID)",3,2,18,39,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_561.Rds","outputs/revision/models/model_41.Rds",66.7843129261623,69.7611603540967,90.927541161366,88.5529779017051,3.20618150342672e-11,0.00231998853595048,0.0580705903845048,0.0669946095056001,"model_41","no",90.927541161366,0,"yes",1.66848800817354,0.19646117573337,1.09504648959192,6.42798153447988,0.133205032269788
"model_562","Bird_Diversity_Herbivore_nativeness","Bird_Diversity","Herbivore_nativeness","no","no","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Bird_Diversity'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",3,2,18,39,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_562.Rds","outputs/revision/models/model_42.Rds",61.7015342987885,58.051395613379,99.0068732579629,96.6390709046959,2.33197241005663e-10,0.00232020638538009,0.0465307022634841,0.0401870784626332,"model_42","no",90.927541161366,8.07933209659686,"no",1.67524891456748,0.195556958065171,1.09948689960496,6.45080157755972,-0.157852325760615
"model_563","Bird_Diversity_Herbivore_nativeness","Bird_Diversity","Herbivore_nativeness","no","yes","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Bird_Diversity'","list(~1 | Citation / species_response_tag / data_point_ID)",3,2,18,39,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_563.Rds","outputs/revision/models/model_43.Rds",66.7843129461331,69.7612999516845,94.9705924338009,92.5960291770301,7.8349089733718e-12,7.56191852890294e-11,0.0580705904367846,0.0669950528497288,"model_43","no",90.927541161366,4.04305127243488,"no",1.66848801106372,0.196461175345787,1.09504649018431,6.42798153231869,0.133210767561627
"model_564","Bird_Diversity_Herbivore_nativeness","Bird_Diversity","Herbivore_nativeness","no","yes","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Bird_Diversity'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",3,2,18,39,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_564.Rds","outputs/revision/models/model_44.Rds",65.1192639762869,65.3876853343402,103.049924598034,100.68212222999,8.41344320711802e-11,6.15949352512841e-10,0.0539198731891329,0.054860101532928,"model_44","no",90.927541161366,12.1223834366683,"no",1.67524889978995,0.195556960036216,1.09948171811532,6.45068676407809,0.0171386548242318
"model_565","Bird_Diversity_Herbivore_nativeness","Bird_Diversity","Herbivore_nativeness","yes","no","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Bird_Diversity'","list(~1 | Citation / data_point_ID, ~1 | site_id)",3,2,18,39,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_565.Rds","outputs/revision/models/model_45.Rds",66.7843129362136,69.7023387723685,94.9705924291529,92.5933739378042,1.3104164373989e-11,5.15221439372255e-09,0.0580705904108172,0.0668081632105436,"model_45","no",90.927541161366,4.04305126778687,"no",1.66583277648584,0.196817630659817,1.0950464894609,6.42798153103484,0.130786005479454
"model_566","Bird_Diversity_Herbivore_nativeness","Bird_Diversity","Herbivore_nativeness","yes","no","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Bird_Diversity'","list(~1 | Citation / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,18,39,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_566.Rds","outputs/revision/models/model_46.Rds",65.5863426863065,65.6294079359677,103.049924520398,100.679471589263,6.16198709919087e-11,1.84939284491004e-08,0.0550436980140436,0.0554501543519639,"model_46","no",90.927541161366,12.122383359032,"no",1.67259833669982,0.195910869846875,1.0994844459479,6.45083550455501,0.00733012094683164
"model_569","CO2_Respiration_Herbivore_nativeness","CO2_Respiration","Herbivore_nativeness","no","no","no","Soil","!is.na(Herbivore_nativeness) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / data_point_ID)",3,2,5,70,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_569.Rds","outputs/revision/models/model_49.Rds",88.3823565154474,89.1324176780238,326.787170370199,324.04936992169,2.47031417915336e-09,2.49280157954358e-09,1.5449006769863,1.63809923617282,"model_49","no",313.452566811732,13.3346035584667,"no",1.57968766502819,0.20880568855913,0.51674501740695,2.35640531505159,0.056894330409593
"model_570","CO2_Respiration_Herbivore_nativeness","CO2_Respiration","Herbivore_nativeness","no","no","yes","Soil","!is.na(Herbivore_nativeness) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",3,2,5,70,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_570.Rds","outputs/revision/models/model_50.Rds",6.36887245078029e-07,8.39753665993152e-07,313.452566811732,310.007323670095,3.80190246276227e-10,2.97061528620189e-10,1.2933485655221e-09,1.67721744856019e-09,"model_50","no",313.452566811732,0,"yes",0.872244971899931,0.350334554415021,0.385777451288784,1.36373379574165,0.228872459780112
"model_571","CO2_Respiration_Herbivore_nativeness","CO2_Respiration","Herbivore_nativeness","no","yes","no","Soil","!is.na(Herbivore_nativeness) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / species_response_tag / data_point_ID)",3,2,5,70,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_571.Rds","outputs/revision/models/model_51.Rds",87.7782741204485,88.5304944605841,329.3937583911,326.338451472085,2.96459264450136e-09,4.09547997923682e-09,1.45850368405638,1.54164952734405,"model_51","no",313.452566811732,15.9411915793677,"no",1.26218119452199,0.261238623716585,0.461016663500375,2.22970053645847,0.0539330384843789
"model_572","CO2_Respiration_Herbivore_nativeness","CO2_Respiration","Herbivore_nativeness","no","yes","yes","Soil","!is.na(Herbivore_nativeness) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",3,2,5,70,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_572.Rds","outputs/revision/models/model_52.Rds",14.6450463764349,22.5212233700339,317.755560261924,314.29163877565,2.23049309883882e-08,2.90106241068269e-08,0.0348429607892322,0.0580559429178794,"model_52","no",313.452566811732,4.30299345019171,"no",0.853566627262751,0.355545310428535,0.384457497488897,1.36540876435849,0.399838172665323
"model_573","CO2_Respiration_Herbivore_nativeness","CO2_Respiration","Herbivore_nativeness","yes","no","no","Soil","!is.na(Herbivore_nativeness) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / data_point_ID, ~1 | site_id)",3,2,5,70,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_573.Rds","outputs/revision/models/model_53.Rds",88.3823558856186,89.1324176272925,331.104658468584,328.366858053152,7.75191687392654e-10,2.10660332107471e-09,1.54490058222315,1.63809922759361,"model_53","no",313.452566811732,17.6520916568524,"no",1.57968769810361,0.208805683793667,0.516745018798196,2.35640546238064,0.056894383319728
"model_574","CO2_Respiration_Herbivore_nativeness","CO2_Respiration","Herbivore_nativeness","yes","no","yes","Soil","!is.na(Herbivore_nativeness) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,5,70,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_574.Rds","outputs/revision/models/model_54.Rds",7.58765869044271e-07,1.0750799590786e-06,317.770054917617,314.324811777915,1.45200112407997e-10,8.49854824146457e-11,1.5408516296654e-09,2.14722833996177e-09,"model_54","no",313.452566811732,4.31748810588516,"no",0.872244973834313,0.350334553880793,0.385777450884915,1.36373379442494,0.282399733186811
"model_575","CO2_Respiration_Herbivore_nativeness","CO2_Respiration","Herbivore_nativeness","yes","yes","no","Soil","!is.na(Herbivore_nativeness) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id)",3,2,5,70,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_575.Rds","outputs/revision/models/model_55.Rds",87.7782736904295,88.5304944736944,333.711246502469,330.655939600551,1.38484858380528e-09,3.12305938189024e-09,1.45850362559413,1.54164952933454,"model_55","no",313.452566811732,20.2586796907369,"no",1.26218121161889,0.261238620486696,0.461016666958022,2.22970064019036,0.0539330776277672
"model_576","CO2_Respiration_Herbivore_nativeness","CO2_Respiration","Herbivore_nativeness","yes","yes","yes","Soil","!is.na(Herbivore_nativeness) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,5,70,7," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_576.Rds","outputs/revision/models/model_56.Rds",14.645255759216,22.5168092938924,322.073048076117,318.609123618233,8.91669477730144e-09,7.03198256792922e-10,0.0348435444192214,0.0580412574756551,"model_56","no",313.452566811732,8.62048126438521,"no",0.853563655652124,0.35554614783116,0.38445730428101,1.36540868964876,0.399676265907295
"model_577","CO2_Respiration_Invasive","CO2_Respiration","Invasive","no","no","no","Soil","!is.na(Invasive) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / data_point_ID)",3,2,5,70,7," ~ Invasive"," ~ 1","outputs/revision/models/model_577.Rds","outputs/revision/models/model_57.Rds",88.3823565154474,89.1324176780238,326.787170370199,324.04936992169,2.47031417915336e-09,2.49280157954358e-09,1.5449006769863,1.63809923617282,"model_57","no",313.452566811732,13.3346035584667,"no",1.57968766502819,0.20880568855913,0.51674501740695,2.35640531505159,0.056894330409593
"model_578","CO2_Respiration_Invasive","CO2_Respiration","Invasive","no","no","yes","Soil","!is.na(Invasive) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",3,2,5,70,7," ~ Invasive"," ~ 1","outputs/revision/models/model_578.Rds","outputs/revision/models/model_58.Rds",6.36887245078029e-07,8.39753665993152e-07,313.452566811732,310.007323670095,3.80190246276227e-10,2.97061528620189e-10,1.2933485655221e-09,1.67721744856019e-09,"model_58","no",313.452566811732,0,"yes",0.872244971899931,0.350334554415021,0.385777451288784,1.36373379574165,0.228872459780112
"model_579","CO2_Respiration_Invasive","CO2_Respiration","Invasive","no","yes","no","Soil","!is.na(Invasive) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / species_response_tag / data_point_ID)",3,2,5,70,7," ~ Invasive"," ~ 1","outputs/revision/models/model_579.Rds","outputs/revision/models/model_59.Rds",87.7782741204485,88.5304944605841,329.3937583911,326.338451472085,2.96459264450136e-09,4.09547997923682e-09,1.45850368405638,1.54164952734405,"model_59","no",313.452566811732,15.9411915793677,"no",1.26218119452199,0.261238623716585,0.461016663500375,2.22970053645847,0.0539330384843789
"model_580","CO2_Respiration_Invasive","CO2_Respiration","Invasive","no","yes","yes","Soil","!is.na(Invasive) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",3,2,5,70,7," ~ Invasive"," ~ 1","outputs/revision/models/model_580.Rds","outputs/revision/models/model_60.Rds",14.6450463764349,22.5212233700339,317.755560261924,314.29163877565,2.23049309883882e-08,2.90106241068269e-08,0.0348429607892322,0.0580559429178794,"model_60","no",313.452566811732,4.30299345019171,"no",0.853566627262751,0.355545310428535,0.384457497488897,1.36540876435849,0.399838172665323
"model_581","CO2_Respiration_Invasive","CO2_Respiration","Invasive","yes","no","no","Soil","!is.na(Invasive) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / data_point_ID, ~1 | site_id)",3,2,5,70,7," ~ Invasive"," ~ 1","outputs/revision/models/model_581.Rds","outputs/revision/models/model_61.Rds",88.3823558856186,89.1324176272925,331.104658468584,328.366858053152,7.75191687392654e-10,2.10660332107471e-09,1.54490058222315,1.63809922759361,"model_61","no",313.452566811732,17.6520916568524,"no",1.57968769810361,0.208805683793667,0.516745018798196,2.35640546238064,0.056894383319728
"model_582","CO2_Respiration_Invasive","CO2_Respiration","Invasive","yes","no","yes","Soil","!is.na(Invasive) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,5,70,7," ~ Invasive"," ~ 1","outputs/revision/models/model_582.Rds","outputs/revision/models/model_62.Rds",7.58765869044271e-07,1.0750799590786e-06,317.770054917617,314.324811777915,1.45200112407997e-10,8.49854824146457e-11,1.5408516296654e-09,2.14722833996177e-09,"model_62","no",313.452566811732,4.31748810588516,"no",0.872244973834313,0.350334553880793,0.385777450884915,1.36373379442494,0.282399733186811
"model_583","CO2_Respiration_Invasive","CO2_Respiration","Invasive","yes","yes","no","Soil","!is.na(Invasive) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id)",3,2,5,70,7," ~ Invasive"," ~ 1","outputs/revision/models/model_583.Rds","outputs/revision/models/model_63.Rds",87.7782736904295,88.5304944736944,333.711246502469,330.655939600551,1.38484858380528e-09,3.12305938189024e-09,1.45850362559413,1.54164952933454,"model_63","no",313.452566811732,20.2586796907369,"no",1.26218121161889,0.261238620486696,0.461016666958022,2.22970064019036,0.0539330776277672
"model_584","CO2_Respiration_Invasive","CO2_Respiration","Invasive","yes","yes","yes","Soil","!is.na(Invasive) & analysis_group == 'CO2_Respiration'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,5,70,7," ~ Invasive"," ~ 1","outputs/revision/models/model_584.Rds","outputs/revision/models/model_64.Rds",14.645255759216,22.5168092938924,322.073048076117,318.609123618233,8.91669477730144e-09,7.03198256792922e-10,0.0348435444192214,0.0580412574756551,"model_64","no",313.452566811732,8.62048126438521,"no",0.853563655652124,0.35554614783116,0.38445730428101,1.36540868964876,0.399676265907295
"model_585","Dead_Vegetation_Herbivore_nativeness","Dead_Vegetation","Herbivore_nativeness","no","no","no","Ecosystem","!is.na(Herbivore_nativeness) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / data_point_ID)",17,2,47,152,33," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_585.Rds","outputs/revision/models/model_65.Rds",69.2884463656741,71.8209841304716,510.664778241185,510.090687483437,0.147197291077447,0.186163375597142,0.333893085012114,0.373266697980914,"model_65","no",487.14466036345,23.5201178777348,"no",4.71921406697675,0.0298273730522967,2.85006436222207,7.61746323298581,0.105483862294122
"model_586","Dead_Vegetation_Herbivore_nativeness","Dead_Vegetation","Herbivore_nativeness","no","no","yes","Ecosystem","!is.na(Herbivore_nativeness) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",17,2,47,152,33," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_586.Rds","outputs/revision/models/model_66.Rds",40.2596682367123,49.9758253761063,513.611251373226,513.674121612843,0.00122462202089279,0.00190133102326979,0.0997357711916554,0.146309915158837,"model_66","no",487.14466036345,26.4665910097754,"no",5.35617506434232,0.020649015002152,3.15339421038195,8.47266989710378,0.318325274924944
"model_587","Dead_Vegetation_Herbivore_nativeness","Dead_Vegetation","Herbivore_nativeness","no","yes","no","Ecosystem","!is.na(Herbivore_nativeness) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / species_response_tag / data_point_ID)",17,2,47,152,33," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_587.Rds","outputs/revision/models/model_67.Rds",71.5833147203846,73.3049116248684,487.14466036345,485.323311898131,6.94382184341313e-09,9.66397939566563e-09,0.372809332917758,0.402156809064366,"model_67","no",487.14466036345,0,"yes",3.4719563594054,0.0624174489539993,2.23429932472385,5.47250262654333,0.0729752063999252
"model_588","Dead_Vegetation_Herbivore_nativeness","Dead_Vegetation","Herbivore_nativeness","no","yes","yes","Ecosystem","!is.na(Herbivore_nativeness) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",17,2,47,152,33," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_588.Rds","outputs/revision/models/model_68.Rds",71.1732715720846,73.0311183631191,497.593264902914,495.80545369071,9.68643917891259e-10,3.55098080723613e-10,0.365401193043137,0.396587232606718,"model_68","no",487.14466036345,10.4486045394639,"no",3.50549361252052,0.0611656158245149,2.25062553278157,5.51726474545079,0.078636014978593
"model_589","Dead_Vegetation_Herbivore_nativeness","Dead_Vegetation","Herbivore_nativeness","yes","no","no","Ecosystem","!is.na(Herbivore_nativeness) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / data_point_ID, ~1 | site_id)",17,2,47,152,33," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_589.Rds","outputs/revision/models/model_69.Rds",69.2884463868125,71.8209846855273,515.958083121895,515.383992361189,2.63869797627142e-09,4.24006918878735e-09,0.333893085343793,0.373266708218054,"model_69","no",487.14466036345,28.8134227584452,"no",4.71921406401816,0.0298273731036178,2.85006437146338,7.61746324881334,0.105483885938363
"model_590","Dead_Vegetation_Herbivore_nativeness","Dead_Vegetation","Herbivore_nativeness","yes","no","yes","Ecosystem","!is.na(Herbivore_nativeness) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",17,2,47,152,33," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_590.Rds","outputs/revision/models/model_70.Rds",39.9603370981455,49.9755589401642,518.905776748117,518.967426384778,9.34501284578953e-06,1.09138815003069e-08,0.0985006931206362,0.146308355877975,"model_70","no",487.14466036345,31.7611163846666,"no",5.354954461386,0.0206634739184479,3.15377489979602,8.47690587780902,0.326759619916797
"model_591","Dead_Vegetation_Herbivore_nativeness","Dead_Vegetation","Herbivore_nativeness","yes","yes","no","Ecosystem","!is.na(Herbivore_nativeness) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id)",17,2,47,152,33," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_591.Rds","outputs/revision/models/model_71.Rds",71.5833112284052,73.3052610107052,492.437967672331,490.616607192248,4.0062541763942e-08,8.77973168011401e-07,0.372809268918759,0.402163989354097,"model_71","no",487.14466036345,5.29330730888051,"no",3.47194434464194,0.062417902283621,2.23430046124403,5.47250614593775,0.0729919167613272
"model_592","Dead_Vegetation_Herbivore_nativeness","Dead_Vegetation","Herbivore_nativeness","yes","yes","yes","Ecosystem","!is.na(Herbivore_nativeness) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",17,2,47,152,33," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_592.Rds","outputs/revision/models/model_72.Rds",71.1732356239628,73.0311156961778,502.886569712199,501.098758495126,3.19840524562904e-11,2.43465504588305e-10,0.365400552817092,0.396587178905856,"model_72","no",487.14466036345,15.7419093487489,"no",3.50549360765126,0.0611656160043155,2.25062790171572,5.51726688464088,0.0786375045577737
"model_593","Dead_Vegetation_Invasive","Dead_Vegetation","Invasive","no","no","no","Ecosystem","!is.na(Invasive) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / data_point_ID)",8,2,17,152,33," ~ Invasive"," ~ 1","outputs/revision/models/model_593.Rds","outputs/revision/models/model_73.Rds",66.6253243706953,68.3295501866377,420.817762457699,418.458373900645,0.0779342961889983,0.0949888834606965,0.286387697276586,0.30447420915726,"model_73","no",400.771522489864,20.0462399678348,"no",2.77051015786947,0.0960155556422985,1.59295647904061,3.77932814741137,0.0594024430861806
"model_594","Dead_Vegetation_Invasive","Dead_Vegetation","Invasive","no","no","yes","Ecosystem","!is.na(Invasive) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",8,2,17,152,33," ~ Invasive"," ~ 1","outputs/revision/models/model_594.Rds","outputs/revision/models/model_74.Rds",24.5055929489518,31.8716946581801,424.681121459285,422.490067567477,0.00131941501209052,0.00140337604205437,0.0465674558464669,0.066019731063891,"model_74","no",400.771522489864,23.909598969421,"no",2.93884482311466,0.0864725545538088,1.7707849131318,4.00435964599271,0.294643357432024
"model_595","Dead_Vegetation_Invasive","Dead_Vegetation","Invasive","no","yes","no","Ecosystem","!is.na(Invasive) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / species_response_tag / data_point_ID)",8,2,17,152,33," ~ Invasive"," ~ 1","outputs/revision/models/model_595.Rds","outputs/revision/models/model_75.Rds",72.0441053873383,73.4893442104321,400.771522489864,397.664643332269,4.60490162084795e-07,2.58275732967499e-06,0.369706539625976,0.39120111324982,"model_75","no",400.771522489864,0,"yes",2.02301955732867,0.154930787054192,1.59118735330591,2.9495674029997,0.0549450727409288
"model_596","Dead_Vegetation_Invasive","Dead_Vegetation","Invasive","no","yes","yes","Ecosystem","!is.na(Invasive) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",8,2,17,152,33," ~ Invasive"," ~ 1","outputs/revision/models/model_596.Rds","outputs/revision/models/model_76.Rds",71.628890216748,73.1489289686119,410.895057456774,407.803755015417,3.39330066308869e-10,3.35876873742124e-10,0.362196269315991,0.384452367085348,"model_76","no",400.771522489864,10.1235349669104,"no",2.03859627356553,0.153351103154387,1.59991133976246,2.96995043177599,0.0578903907864764
"model_597","Dead_Vegetation_Invasive","Dead_Vegetation","Invasive","yes","no","no","Ecosystem","!is.na(Invasive) & analysis_group == 'Dead_Vegetation'","list(~1 | Citation / data_point_ID, ~1 | site_id)",8,2,17,152,33," ~ Invasive"," ~ 1","outputs/revision/models/model_597.Rds","outputs/revision/models/model_77.Rds",66.6253254000236,68.326245529978,425.947661205436,423.587558666059,1.49941250055183e-08,0.0011367219810779,0.286387710533788,0.304427718172193,"model_77","no",400.771522489864,25.1761387155721,"no",2.7697961755465,0.0960583921958147,1.59295648240214,3.77932798674792,0.0592587552366076
