response_key,Response_Highest_Level,Response_Cat,Response_Sphere,Species_Class,Species_Nativeness,Strata_or_soil_depth,woody_height_class,age_class,Species_Level,Species,Response,Units,Response_Dimension,Response_Living,analysis_group_category,eco_response_coarse,eco_response_fine,eco_response_fine2,eco_response_fine3,eco_response_fine4
response combo 467,DIVERSITY,Diversity_Metrics,invertebrates,Syrphidae,Unspecified,,,,,total,Shannon-Wiener Diversity Index,count,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
response combo 468,DIVERSITY,Diversity_Metrics,invertebrates,Carabidae,Unspecified,,,,,total,Shannon-Wiener Diversity Index,count,Aboveground,Living,Invertebrates,Invertebrate_Diversity,Invert_Predator_Diversity,,,
response combo 469,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Herbivorous Insects,Unspecified,,,,,total,Abundance,count,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
response combo 470,DIVERSITY,Richness,invertebrates,Herbivorous Insects,Unspecified,,,,,total,Order richness,count,Aboveground,Living,Invertebrates,Invertebrate_Diversity,Invert_Herbivore_Diversity,,,
response combo 471,DIVERSITY,Diversity_Metrics,invertebrates,Herbivorous Insects,Unspecified,,,,,total,Order shannon diversity,count,Aboveground,Living,Invertebrates,Invertebrate_Diversity,Invert_Herbivore_Diversity,,,
response combo 472,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Spiders,Unspecified,,,,,total,Abundance,count,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Predator_Abundance,,,
response combo 473,DIVERSITY,Richness,invertebrates,Spiders,Unspecified,,,,,total,Family richness,count,Aboveground,Living,Invertebrates,Invertebrate_Diversity,Invert_Predator_Diversity,,,
response combo 474,DIVERSITY,Diversity_Metrics,invertebrates,Spiders,Unspecified,,,,,total,Family shannon diversity,count,Aboveground,Living,Invertebrates,Invertebrate_Diversity,Invert_Predator_Diversity,,,
response combo 475,ABUNDANCE,Abundance_Density_Freq_Counts,small mammals,Rodent,Reported_Native,,,,,Apodemus sylvaticus,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Small_Mammal_Abundance,Mamm_SmallHerb_Abundance,Vert_Herb_Abundance,
response combo 476,ABUNDANCE,Abundance_Density_Freq_Counts,small mammals,Rodent,Reported_Native,,,,,Myodes glareolus,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Small_Mammal_Abundance,Mamm_SmallHerb_Abundance,Vert_Herb_Abundance,
response combo 477,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Total,Inferred_Native,<0.1 m,,,Higher_level,total,Frequency,count,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 478,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Total,Inferred_Native,0.1-0.2 m,,,Higher_level,total,Frequency,count,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 479,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Total,Inferred_Native,0.2-.07 m,,,Higher_level,total,Frequency,count,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 480,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Total,Inferred_Native,0.7-1 m,,,Higher_level,total,Frequency,count,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 481,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Total,Inferred_Native,1-1.5 m,,,Higher_level,total,Frequency,count,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 482,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Total,Inferred_Native,1.5-2 m,,,Higher_level,total,Frequency,count,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 483,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Total,Inferred_Native,>2 m,,,Higher_level,total,Frequency,count,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 484,ABUNDANCE,Cover,vegetation,Total,Inferred_Native,0-25 cm,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 485,ABUNDANCE,Cover,vegetation,Total,Inferred_Native,26 - 50 cm,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 486,ABUNDANCE,Cover,vegetation,Total,Inferred_Native,51 - 100 cm,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 487,SOIL_NUTRIENTS,Total_N,soil,nutrients,Unspecified,0-5 cm,,,,Soil,N (%),%,Belowground,Abiotic,Soil,Soil_Total_N,,,,
response combo 488,SOIL_NUTRIENTS,Total_C,soil,nutrients,Unspecified,0-5 cm,,,,Soil,C (%),%,Belowground,Abiotic,Soil,Soil_Total_C,,,,
response combo 489,SOIL_NUTRIENTS,C:N,soil,nutrients,Unspecified,0-5 cm,,,,Soil,C:N ratio,ratio,Belowground,Abiotic,Soil,Soil_C:N,,,,
response combo 490,SOIL_NUTRIENTS,Total_P,soil,nutrients,Unspecified,0-5 cm,,,,Soil,P (µg/g),µg/g,Belowground,Abiotic,Soil,Soil_Total_P,,,,
response combo 491,SOIL_NUTRIENTS,Labile_N,soil,nutrients,Unspecified,0-5 cm,,,,Soil,NH4-N (µg/g),µg/g,Belowground,Abiotic,Soil,Soil_Labile_N,,,,
response combo 492,ABUNDANCE,Cover,vegetation,Forbs,Inferred_Native,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,,,Native_Plant_Abundance
response combo 493,DIVERSITY,Diversity_Metrics,vegetation,Total,Inferred_Native,,,,Higher_level,total,Shannon-Wiener Diversity Index,metric,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 494,DIVERSITY,Dominance,vegetation,Forbs,Inferred_Native,,,,Higher_level,total,Berger-parker dominance,metric,Aboveground,Living,Plants,Plant_Dominance,Forb_Dominance,,,Native_Plant_Dominance
response combo 495,ABUNDANCE,Cover,vegetation,Total,Inferred_Native,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 496,ABUNDANCE,Cover,vegetation,Grasses,Inferred_Native,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,,,Native_Plant_Abundance
response combo 497,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Graminoids,Reported_Native,,,,Species,Panicum coloratum,Abundance_% total biomass cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 498,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Graminoids,Reported_Native,,,,Species,Digitaria eriantha,Abundance_% total biomass cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 499,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Graminoids,Reported_Native,,,,Species,Themeda triandra,Abundance_% total biomass cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 500,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Graminoids,Reported_Native,,,,Species,Urochloa trichopus,Abundance_% total biomass cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 501,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Graminoids,Reported_Native,,,,Species,Bothriochloa radicans,Abundance_% total biomass cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 502,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Graminoids,Reported_Native,,,,Species,Andropogon gerardi,Abundance_% total biomass cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,,,Native_Plant_Abundance
response combo 503,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Graminoids,Reported_Native,,,,Species,Schizachyrium scoparium,Abundance_% total biomass cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 504,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Forb,Reported_Native,,,,Species,Ambrosia psilostachya,Abundance_% total biomass cover,%,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 505,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Forb,Reported_Native,,,,Species,Symphyotrichum ericoides,Abundance_% total biomass cover,%,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 506,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Forb,Reported_Native,,,,Species,Aster oblongifolius,Abundance_% total biomass cover,%,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 507,ABUNDANCE,Abundance_Density_Freq_Counts,small mammals,Rodent,Reported_Native,,,,,Myodes glareolus,Population size,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Small_Mammal_Abundance,Mamm_SmallHerb_Abundance,Vert_Herb_Abundance,
response combo 508,ABUNDANCE,Cover,vegetation,Total,Inferred_Native,undergrowth 0.5-2.0 m,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 509,ABUNDANCE,Cover,vegetation,Shrub,Reported_Native,undergrowth 0.5-2.0 m,under_2m,,Species,Rubus fruticosus,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,Understorey_Woody_Abundance,Native_Plant_Abundance
response combo 510,,Demography,vegetation,Shrub,Reported_Native,,,,Species,Rubus fruticosus,Fruit production,metric,Aboveground,,,,,,,
response combo 511,ABUNDANCE,Abundance_Density_Freq_Counts,small mammals,Rodent,Reported_Native,,,,,Apodemus sylvaticus,Population size,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Small_Mammal_Abundance,Mamm_SmallHerb_Abundance,Vert_Herb_Abundance,
response combo 512,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Trees,Reported_Native,,,,Species,Salix alaxensis,Twig production,kg / ha,Aboveground,Living,Plants,Primary_Productivity,,,,Aboveground_Primary_Productivity
response combo 513,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Reported_Native,,,,Species,Alnus incana,Density,stems / m2,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,NFixing_Abundance,,Native_Plant_Abundance
response combo 514,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Reported_Native,,,,Species,Populus balsamifera,Density,stems / m2,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 515,,Demography,vegetation,Trees,Reported_Native,,,,Species,Alnus incana,Mean age,years,Aboveground,,,,,,,
response combo 516,,Demography,vegetation,Trees,Reported_Native,,,,Species,Populus balsamifera,Mean age,years,Aboveground,,,,,,,
response combo 517,,Demography,vegetation,Trees,Reported_Native,,,,Species,Salix alaxensis,Mean age,years,Aboveground,,,,,,,
response combo 518,,Demography,vegetation,Trees,Reported_Native,,,,Species,Salix lasiandra,Mean age,years,Aboveground,,,,,,,
response combo 519,,Demography,vegetation,Trees,Reported_Native,,,,Species,Salix pseudomyrsinites,Mean age,years,Aboveground,,,,,,,
response combo 520,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Trees,Reported_Native,,,,Species,Salix brachycarpa,Twig production,kg / ha,Aboveground,Living,Plants,Primary_Productivity,,,,Aboveground_Primary_Productivity
response combo 521,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Trees,Reported_Native,,,,Species,Salix lasiandra,Twig production,kg / ha,Aboveground,Living,Plants,Primary_Productivity,,,,Aboveground_Primary_Productivity
response combo 522,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Trees,Reported_Native,,,,Species,Salix pseudomyrsinites,Twig production,kg / ha,Aboveground,Living,Plants,Primary_Productivity,,,,Aboveground_Primary_Productivity
response combo 523,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Trees,Reported_Native,,,,Species,Populus balsamifera,Twig production,kg / ha,Aboveground,Living,Plants,Primary_Productivity,,,,Aboveground_Primary_Productivity
response combo 524,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Reported_Native,,,,Species,Salix alaxensis,Density,stems / m2,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 525,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Reported_Native,,,,Species,Salix brachycarpa,Density,stems / m2,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,,Native_Plant_Abundance
response combo 526,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Reported_Native,,,,Species,Salix lasiandra,Density,stems / m2,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,,Native_Plant_Abundance
response combo 527,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Reported_Native,,,,Species,Salix pseudomyrsinites,Density,stems / m2,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,,Native_Plant_Abundance
response combo 528,ABUNDANCE,Cover,vegetation,Total,Reported_Native,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 529,,Demography,vegetation,Trees,Reported_Native,,young,seedling,Species,Juniperus virginiana,Survival,%,Aboveground,,,,,,,
response combo 530,BIOMASS,Biomass_Proxy,vegetation,Trees,Reported_Native,,young,seedling,Species,Acer rubrum,Height,m,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,Not_NFixing_Abundance,Understorey_Woody_Abundance,Native_Plant_Abundance
response combo 531,BIOMASS,Biomass_Proxy,vegetation,Trees,Reported_Native,,young,seedling,Species,Cornus florida,Height,m,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,Not_NFixing_Abundance,Understorey_Woody_Abundance,Native_Plant_Abundance
response combo 532,BIOMASS,Biomass_Proxy,vegetation,Trees,Reported_Native,,young,seedling,Species,Juniperus virginiana,Height,m,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,Understorey_Woody_Abundance,Native_Plant_Abundance
response combo 533,ABUNDANCE,Cover,vegetation,Total,Reported_Introduced,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,Introduced_Plant_Abundance
response combo 534,,Demography,vegetation,Trees,Reported_Native,,young,seedling,Species,Acer rubrum,Survival,%,Aboveground,,,,,,,
response combo 535,,Demography,vegetation,Trees,Reported_Native,,young,seedling,Species,Cornus florida,Survival,%,Aboveground,,,,,,,
response combo 536,ABUNDANCE,Cover,vegetation,Trees,Inferred_Mixed,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,,
response combo 537,DIVERSITY,Richness,vegetation,Trees,Inferred_Mixed,,,,Higher_level,total,Richness,count,Aboveground,Living,Plants,Plant_Diversity,Woody_Diversity,,,
response combo 538,DIVERSITY,Richness,vegetation,Shrubs,Inferred_Mixed,,,,Higher_level,total,Richness,count,Aboveground,Living,Plants,Plant_Diversity,Woody_Diversity,,,
response combo 539,DIVERSITY,Richness,vegetation,Forbs,Inferred_Mixed,,,,Higher_level,total,Richness,count,Aboveground,Living,Plants,Plant_Diversity,Forb_Diversity,,,
response combo 540,ABUNDANCE,Cover,vegetation,Shrubs,Inferred_Mixed,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,,
response combo 541,ABUNDANCE,Cover,vegetation,Forbs,Inferred_Mixed,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,,,
response combo 542,ABUNDANCE,Cover,vegetation,Grass,Inferred_Mixed,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,,,
response combo 543,ABUNDANCE,Cover,vegetation,Sedge,Inferred_Mixed,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,,,
response combo 544,ABUNDANCE,Cover,vegetation,Ferns,Inferred_Mixed,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,,,
response combo 545,PLANT_NUTRIENTS,Omit,vegetation,Nutrients,Reported_Native,,,,Species,Betula pubescens,Phosphorous uptake_birch root p32 uptake,pg / mg / root / 15 mins,Aboveground,Living,,,,,,
response combo 546,PLANT_NUTRIENTS,Total_P,vegetation,Nutrients,Reported_Native,,,,Species,Betula pubescens,Foliar % p,%,Aboveground,Living,,,,,,
response combo 547,SOIL_PROCESS,Enzyme_Activity,soil,Nutrients,Unspecified,100 mm depth,,,,Phosphatase,Phosphatase activity,g pNP / g / dry soil / h,Belowground,Living,Soil,Microbe_Abundance,,,,
response combo 548,PLANT_NUTRIENTS,N:P,vegetation,Nutrients,Reported_Native,,,,Species,Betula pubescens,Foliar n:p,%,Aboveground,Living,,,,,,
response combo 549,PLANT_NUTRIENTS,Total_N,vegetation,Nutrients,Reported_Native,,,,Species,Betula pubescens,Foliar % n,%,Aboveground,Living,Plants,Plant_Total_N,Woody_Total_N,,,Native_Plant_Total_N
response combo 550,DIVERSITY,Diversity_Metrics,invertebrates,Total,Unspecified,,,,,total,Shannon-Wiener Diversity Index,metric,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
response combo 551,BIOMASS,Biomass,invertebrates,Total,Unspecified,,,,,total,Biomass,g,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
response combo 552,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Total,Unspecified,,,,,total,Absolute abundance,count,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
response combo 553,BIOMASS,Biomass,vegetation,,Reported_Native,,,,Species,Artemisia ludoviciana,Dry biomass,g,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,,,Native_Plant_Abundance
response combo 554,BIOMASS,Biomass,vegetation,,Reported_Native,,,,Species,Calliandra eriophylla,Dry biomass,g,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,,,Native_Plant_Abundance
response combo 555,BIOMASS,Biomass,vegetation,,Reported_Native,,,,Species,Dichelostemma pulchellum,Dry biomass,g,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,,,Native_Plant_Abundance
response combo 556,BIOMASS,Biomass,vegetation,,Reported_Introduced,,,,Species,Erodium cicutarium,Dry biomass,g,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,Not_NFixing_Abundance,,Introduced_Plant_Abundance
response combo 557,BIOMASS,Biomass,vegetation,,Reported_Native,,,,Species,Euphorbia albomarginata,Dry biomass,g,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,,,Native_Plant_Abundance
response combo 558,BIOMASS,Biomass,vegetation,,Reported_Native,,,,Species,Lotus rigidus,Dry biomass,g,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,,,Native_Plant_Abundance
response combo 559,BIOMASS,Biomass,vegetation,,Reported_Native,,,,Species,Lupinus arizonicus,Dry biomass,g,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,NFixing_Abundance,,Native_Plant_Abundance
response combo 560,BIOMASS,Biomass,vegetation,,Reported_Native,,,,Species,Plantago purshii,Dry biomass,g,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,,,Native_Plant_Abundance
response combo 561,BIOMASS,Biomass,vegetation,,Reported_Native,,,,Species,Sphaeralcea ambigua,Dry biomass,g,Aboveground,Living,Plants,Plant_Abundance,Forb_Abundance,,,Native_Plant_Abundance
response combo 562,DIVERSITY,Richness,vegetation,Total,Inferred_Mixed,,,,Higher_level,total,Richness,count,Aboveground,Living,Plants,Plant_Diversity,,,,
response combo 563,ABUNDANCE,Cover,vegetation,Total,Inferred_Mixed,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,
response combo 564,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Trees,Reported_Native,,,,Species,Alnus incana,Height growth / year,rate,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 565,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Trees,Reported_Native,,,,Species,Populus tristis,Height growth / year,rate,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 566,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Trees,Reported_Native,,,,Genus,Salix spp,Height growth / year,rate,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 567,BIOMASS,Biomass_Proxy,vegetation,Trees,Unspecified,,over_2m,dbh > 3 cm; height > 5 m,Higher_level,trees,Diameter at breast height,cm,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,Overstorey_Woody_Abundance,Native_Plant_Abundance
response combo 568,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,Field sparrow,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,Bird_Omnivore_Abundance,,TerrestrialBird_Abundance
response combo 569,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,total,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,TerrestrialBird_Abundance
response combo 570,DIVERSITY,Diversity_Metrics,birds,Birds,Unspecified,,,,,total,Shannon-Wiener Diversity Index,metric,Aboveground,Living,Vertebrates,Vertebrate_Diversity,Bird_Diversity,,,TerrestrialBird_Diversity
response combo 571,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,Red-eyed vireo,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,Bird_Omnivore_Abundance,,TerrestrialBird_Abundance
response combo 572,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,Scarlet tanager,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,Bird_Carnivore_Abundance,Vert_Carn_Abundance,TerrestrialBird_Abundance
response combo 573,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,Chipping sparrow,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,Bird_Omnivore_Abundance,,TerrestrialBird_Abundance
response combo 574,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,Tufted titmouse,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,Bird_Carnivore_Abundance,Vert_Carn_Abundance,TerrestrialBird_Abundance
response combo 575,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,Black-and-white warbler,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,Bird_Carnivore_Abundance,Vert_Carn_Abundance,TerrestrialBird_Abundance
response combo 576,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,Louisiana waterthrush,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,Bird_Carnivore_Abundance,Vert_Carn_Abundance,TerrestrialBird_Abundance
response combo 577,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,Kentucky warbler,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,Bird_Carnivore_Abundance,Vert_Carn_Abundance,TerrestrialBird_Abundance
response combo 578,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,Common grackle,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,Bird_Carnivore_Abundance,Vert_Carn_Abundance,TerrestrialBird_Abundance
response combo 579,DIVERSITY,Richness,vegetation,Herbaceous,Unspecified,,,,Higher_level,total,Richness,count,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 580,DIVERSITY,Diversity_Metrics,vegetation,Herbaceous,Unspecified,,,,Higher_level,total,Shannon-Wiener Diversity Index,metric,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 581,DIVERSITY,Evenness,vegetation,Herbaceous,Unspecified,,,,Higher_level,total,Evenness,metric,Aboveground,Living,Plants,Plant_Eveness,,,,Native_Plant_Eveness
response combo 582,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Herbaceous,Unspecified,,,,Higher_level,total,Relative abundance,%,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 583,DIVERSITY,Richness,vegetation,Woody Vegetation,Unspecified,,,,Higher_level,total,Richness,count,Aboveground,Living,Plants,Plant_Diversity,Woody_Diversity,,,Native_Plant_Diversity
response combo 584,DIVERSITY,Diversity_Metrics,vegetation,Woody Vegetation,Unspecified,,,,Higher_level,total,Shannon-Wiener Diversity Index,metric,Aboveground,Living,Plants,Plant_Diversity,Woody_Diversity,,,Native_Plant_Diversity
response combo 585,DIVERSITY,Evenness,vegetation,Woody Vegetation,Unspecified,,,,Higher_level,total,Evenness,metric,Aboveground,Living,Plants,Plant_Eveness,Woody_Eveness,,,Native_Plant_Eveness
response combo 586,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Woody Vegetation,Unspecified,,,,Higher_level,total,Relative abundance,%,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,,Native_Plant_Abundance
response combo 587,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Ants,Inferred_Mixed,surface,,,,total,Abundance,trap/day/plot,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
response combo 588,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Mites,Inferred_Mixed,surface,,,,total,Abundance,trap/day/plot,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
response combo 589,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Woodlice,Inferred_Mixed,surface,,,,total,Abundance,trap/day/plot,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Detritivore_Abundance,,,
response combo 590,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Bristletails,Inferred_Mixed,surface,,,,total,Abundance,trap/day/plot,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Detritivore_Abundance,,,
response combo 591,DIVERSITY,Richness,invertebrates,Ants,Inferred_Mixed,surface,,,,total,Genera richness_/trap/day/plot,rate of discovery,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
response combo 592,DIVERSITY,Richness,invertebrates,Beetles,Inferred_Mixed,surface,,,,total,Morphospecies richness_/trap/day/plot,rate of discovery,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
response combo 593,BIOMASS,Biomass,vegetation,Herbaceous,Inferred_Mixed,,,,Higher_level,total,Biomass,g/m2,Aboveground,Living,Plants,Plant_Abundance,,,,
response combo 594,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Beetles,Inferred_Mixed,surface,,,,total,Abundance,trap/day/plot,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
