data_point_ID,Response_Highest_Level,Response_Cat,Response_Sphere,Species_Class,Species_Nativeness,Strata_or_soil_depth,woody_height_class,age_class,Species_Level,Species,Response,Units,Response_Dimension,Response_Living,analysis_group_category,eco_response_coarse,eco_response_fine,eco_response_fine2,eco_response_fine3,eco_response_fine4
Pastor et al. 1993 Ecology_34,SOIL_PROCESS,N_Mineralization_Rate,soil,Process,,A1 or O2 horizons,,,,Nitrogen,Cumulative 30-week potential n mineralization,ug / g soil,Belowground,Living,Soil,N_Mineralization_Rate,,,,
Pastor et al. 1993 Ecology_35,SOIL_PROCESS,N_Mineralization_Rate,soil,Process,,A1 or O2 horizons,,,,Nitrogen,Cumulative 30-week potential n mineralization,ug / g soil,Belowground,Living,Soil,N_Mineralization_Rate,,,,
Pastor et al. 1993 Ecology_36,SOIL_PROCESS,N_Mineralization_Rate,soil,Process,,A1 or O2 horizons,,,,Nitrogen,Cumulative 30-week potential n mineralization,ug / g soil,Belowground,Living,Soil,N_Mineralization_Rate,,,,
Pastor et al. 1993 Ecology_37,SOIL_PROCESS,N_Mineralization_Rate,soil,Process,,A1 or O2 horizons,,,,Nitrogen,Cumulative 30-week potential n mineralization,ug / g soil,Belowground,Living,Soil,N_Mineralization_Rate,,,,
Pastor et al. 1993 Ecology_38,SOIL_PROCESS,N_Mineralization_Rate,soil,Process,,A1 or O2 horizons,,,,Nitrogen,Cumulative 30-week potential n mineralization,ug / g soil,Belowground,Living,Soil,N_Mineralization_Rate,,,,
Pastor et al. 1993 Ecology_39,SOIL_PROCESS,N_Mineralization_Rate,soil,Process,,A1 or O2 horizons,,,,Nitrogen,Cumulative 30-week potential n mineralization,ug / g soil,Belowground,Living,Soil,N_Mineralization_Rate,,,,
Pastor et al. 1993 Ecology_40,SOIL_PROCESS,N_Mineralization_Rate,soil,Process,,A1 or O2 horizons,,,,Nitrogen,Cumulative 30-week potential n mineralization,ug / g soil,Belowground,Living,Soil,N_Mineralization_Rate,,,,
Pastor et al. 1993 Ecology_41,SOIL_PROCESS,N_Mineralization_Rate,soil,Process,,A1 or O2 horizons,,,,Nitrogen,Cumulative 30-week potential n mineralization,ug / g soil,Belowground,Living,Soil,N_Mineralization_Rate,,,,
Pastor et al. 1993 Ecology_42,SOIL_PROCESS,N_Mineralization_Rate,soil,Process,,A1 or O2 horizons,,,,Nitrogen,Cumulative 30-week potential n mineralization,ug / g soil,Belowground,Living,Soil,N_Mineralization_Rate,,,,
Frank et al. 2000 Oecologia_1,SOIL_PROCESS,N_Mineralization_Rate,soil,Process,,not reported,,,,Nitrogen,Net n mineralization,kg N / hectare / year,Belowground,Living,Soil,N_Mineralization_Rate,,,,
Villar et al. 2020 Functional Ecology_4,SOIL_PROCESS,Nitrification_Rate,soil,Process,,0-15 cm depth,,,,Nitrification,Nitrification rate,mg / kg / week,Belowground,Living,Soil,Nitrification_Rate,,,,
Johnson and Matchett 2001 Ecology_8,SOIL_PROCESS,Nitrification_Rate,soil,Process,,14 cm depth,,,,total,Net nitrification,mg NO3-N / m2 / day,Belowground,Living,Soil,Nitrification_Rate,,,,
Johnson and Matchett 2001 Ecology_9,SOIL_PROCESS,Nitrification_Rate,soil,Process,,14 cm depth,,,,total,Net nitrification,mg NO3-N / m2 / day,Belowground,Living,Soil,Nitrification_Rate,,,,
Frank et al. 2000 Oecologia_2,SOIL_PROCESS,Nitrification_Rate,soil,Process,,not reported,,,,Nitrogen,Net nitrification,kg N / hectare / year,Belowground,Living,Soil,Nitrification_Rate,,,,
Ramirez et al. 2021 Ecosystems_14,SOIL_PROCESS,PO4_Mineralization_Rate,soil,Nutrients,,,,,,Phosphorous,Po4 mineralization,mg / L,Belowground,Living,Soil,PO4_Mineralization_Rate,,,,
Rodriguez-Cabal et al. 2019 Biological Invasions_3,SOIL_PROCESS,Respiration,soil,Process,,,,,,respiration,Respiration,gr CO2 / m2 / hour,Belowground,Living,Ecosystem,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_36,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_37,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_38,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_39,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_40,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_41,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_42,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_43,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_44,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_45,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_46,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_47,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,substrate-induced respiration,Substrate-induced respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Molvar et al 1993 Oecologia_7,SOIL_PROCESS,Respiration,soil,Process,,,,,,Soil respiration,Overall soil respiration,������������������������������������g CO2-C/g soil.day-1,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Molvar et al 1993 Oecologia_8,SOIL_PROCESS,Respiration,soil,Process,,,,,,Soil respiration,Soil respiration per g om,������������������������������������g CO2-C/g OM.day-1,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_48,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_49,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_50,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_51,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_52,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_53,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_54,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_55,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_56,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_57,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_58,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,bacterial respiration,Bacterial respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_59,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_60,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_61,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_62,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_63,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_64,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_65,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_66,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_67,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_68,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_69,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_70,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_71,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,fungal respiration,Fungal respiration,mg / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Kielland et al. 1997 Oikos_5,SOIL_PROCESS,Respiration,soil,Process,,,,,,leaf litter,Long term cumulative decomposition rate / co2 production,mg / g,Belowground,Living,Soil,Soil_Decomposition_Rate,,,,
Risch et al. 2010 Oecologia_1,SOIL_PROCESS,Respiration,soil,Nutrients,,5 cm depth,,,,Carbon,Soil co2 emissions,g / m2 / hectare,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Persico et al. 2017 Marine Ecology Progress Series_1,SOIL_PROCESS,Respiration,soil,Process,,5 cm,,,,respiration,Soil respiration,mmol CO2 / m2 / h,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Persico et al. 2017 Marine Ecology Progress Series_2,SOIL_PROCESS,Respiration,soil,Process,,5 cm,,,,respiration,Soil respiration,mmol CO2 / m2 / h,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Persico et al. 2017 Marine Ecology Progress Series_3,SOIL_PROCESS,Respiration,soil,Process,,5 cm,,,,respiration,Soil respiration,mmol CO2 / m2 / h,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_25,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_26,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_27,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_28,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_29,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_30,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_31,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_32,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_33,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_34,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Chen et al. 2013 European Journal of Soil Biology_35,SOIL_PROCESS,Respiration,soil,Process,,5 cm depth,,,,soil respiration,Soil respiration,umol CO2 / m2 / sec,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Stark and Grellmann 2002 Ecology_19,SOIL_PROCESS,Respiration,soil,Process,,,,,,respiration,Soil respiration rate,mg CO2 / kg / OM h,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Johnson and Matchett 2001 Ecology_10,SOIL_PROCESS,Respiration,soil,Process,,surface?,,,,total,In situ soil respiration rate,micro mol CO2 / m2 / second,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Johnson and Matchett 2001 Ecology_11,SOIL_PROCESS,Respiration,soil,Process,,surface?,,,,total,In situ soil respiration rate,micro mol CO2 / m2 / second,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Johnson and Matchett 2001 Ecology_12,SOIL_PROCESS,Respiration,soil,Process,,surface?,,,,total,In situ soil respiration rate,micro mol CO2 / m2 / second,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Johnson and Matchett 2001 Ecology_13,SOIL_PROCESS,Respiration,soil,Process,,surface?,,,,total,In situ soil respiration rate,micro mol CO2 / m2 / second,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Johnson and Matchett 2001 Ecology_14,SOIL_PROCESS,Respiration,soil,Process,,surface?,,,,total,In situ soil respiration rate,micro mol CO2 / m2 / second,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Johnson and Matchett 2001 Ecology_15,SOIL_PROCESS,Respiration,soil,Process,,surface?,,,,total,In situ soil respiration rate,micro mol CO2 / m2 / second,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Johnson and Matchett 2001 Ecology_16,SOIL_PROCESS,Respiration,soil,Process,,surface?,,,,total,In situ soil respiration rate,micro mol CO2 / m2 / second,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Kielland et al. 1997 Oikos_11,SOIL_PROCESS,Respiration,soil,Process,,unclear,,,,soil,Soil respiration potential,ug / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Kielland et al. 1997 Oikos_12,SOIL_PROCESS,Respiration,soil,Process,,unclear,,,,soil,Soil respiration potential,ug / g / day,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Pastor et al. 1993 Ecology_43,SOIL_PROCESS,Respiration,soil,Process,,A1 or O2 horizons,,,,Carbon,Cumulative 26-week potential c respiration,mg / g soil,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Pastor et al. 1993 Ecology_44,SOIL_PROCESS,Respiration,soil,Process,,A1 or O2 horizons,,,,Carbon,Cumulative 26-week potential c respiration,mg / g soil,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Pastor et al. 1993 Ecology_45,SOIL_PROCESS,Respiration,soil,Process,,A1 or O2 horizons,,,,Carbon,Cumulative 26-week potential c respiration,mg / g soil,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Pastor et al. 1993 Ecology_46,SOIL_PROCESS,Respiration,soil,Process,,A1 or O2 horizons,,,,Carbon,Cumulative 26-week potential c respiration,mg / g soil,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Pastor et al. 1993 Ecology_47,SOIL_PROCESS,Respiration,soil,Process,,A1 or O2 horizons,,,,Carbon,Cumulative 26-week potential c respiration,mg / g soil,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Pastor et al. 1993 Ecology_48,SOIL_PROCESS,Respiration,soil,Process,,A1 or O2 horizons,,,,Carbon,Cumulative 26-week potential c respiration,mg / g soil,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Pastor et al. 1993 Ecology_49,SOIL_PROCESS,Respiration,soil,Process,,A1 or O2 horizons,,,,Carbon,Cumulative 26-week potential c respiration,mg / g soil,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Pastor et al. 1993 Ecology_50,SOIL_PROCESS,Respiration,soil,Process,,A1 or O2 horizons,,,,Carbon,Cumulative 26-week potential c respiration,mg / g soil,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Pastor et al. 1993 Ecology_51,SOIL_PROCESS,Respiration,soil,Process,,A1 or O2 horizons,,,,Carbon,Cumulative 26-week potential c respiration,mg / g soil,Belowground,Living,Soil,Soil_Respiration,CO2_Respiration,,,
Mosbacher et al. 2019 Ecosystems_121,SOIL_STRUCTURE,Depth_to_Permafrost,soil,Permafrost,,depth between top of permafrost and margin between green and brown moss layer,,,,total,Depth to permafrost (active layer depth),cm,Belowground,Abiotic,Soil,,,,,
Mosbacher et al. 2019 Ecosystems_122,SOIL_STRUCTURE,Depth_to_Permafrost,soil,Permafrost,,depth between top of permafrost and margin between green and brown moss layer,,,,total,Depth to permafrost (active layer depth),cm,Belowground,Abiotic,Soil,,,,,
Mosbacher et al. 2019 Ecosystems_123,SOIL_STRUCTURE,Depth_to_Permafrost,soil,Permafrost,,depth between top of permafrost and margin between green and brown moss layer,,,,total,Depth to permafrost (active layer depth),cm,Belowground,Abiotic,Soil,,,,,
Mosbacher et al. 2019 Ecosystems_124,SOIL_STRUCTURE,Depth_to_Permafrost,soil,Permafrost,,depth between top of permafrost and margin between green and brown moss layer,,,,total,Depth to permafrost (active layer depth),cm,Belowground,Abiotic,Soil,,,,,
Mosbacher et al. 2019 Ecosystems_125,SOIL_STRUCTURE,Depth_to_Permafrost,soil,Permafrost,,depth between top of permafrost and margin between green and brown moss layer,,,,total,Depth to permafrost (active layer depth),cm,Belowground,Abiotic,Soil,,,,,
Mosbacher et al. 2019 Ecosystems_126,SOIL_STRUCTURE,Depth_to_Permafrost,soil,Permafrost,,depth between top of permafrost and margin between green and brown moss layer,,,,total,Depth to permafrost (active layer depth),cm,Belowground,Abiotic,Soil,,,,,
Mosbacher et al. 2019 Ecosystems_127,SOIL_STRUCTURE,Depth_to_Permafrost,soil,Permafrost,,depth between top of permafrost and margin between green and brown moss layer,,,,total,Depth to permafrost (active layer depth),cm,Belowground,Abiotic,Soil,,,,,
Mosbacher et al. 2019 Ecosystems_128,SOIL_STRUCTURE,Depth_to_Permafrost,soil,Permafrost,,depth between top of permafrost and margin between green and brown moss layer,,,,total,Depth to permafrost (active layer depth),cm,Belowground,Abiotic,Soil,,,,,
Mosbacher et al. 2019 Ecosystems_129,SOIL_STRUCTURE,Depth_to_Permafrost,soil,Permafrost,,depth between top of permafrost and margin between green and brown moss layer,,,,total,Depth to permafrost (active layer depth),cm,Belowground,Abiotic,Soil,,,,,
Mosbacher et al. 2019 Ecosystems_130,SOIL_STRUCTURE,Depth_to_Permafrost,soil,Permafrost,,depth between top of permafrost and margin between green and brown moss layer,,,,total,Depth to permafrost (active layer depth),cm,Belowground,Abiotic,Soil,,,,,
Singer et al. 1984_7,SOIL_STRUCTURE,Organic_Matter_Depth,soil,Structure,,O1 and O2 litter,,,,organic matter soil layer depth,Organic matter soil layer depth,cm,Belowground,Abiotic,Soil,Soil_Organic_Matter,,,,
Singer et al. 1984_8,SOIL_STRUCTURE,Organic_Matter_Depth,soil,Structure,,O1 and O2 litter,,,,organic matter soil layer depth,Organic matter soil layer depth,cm,Belowground,Abiotic,Soil,Soil_Organic_Matter,,,,
Vandegehuchte et al. 2017 Oikos_49,SOIL_STRUCTURE,Soil_Compaction,soil,Soil,,0-10 cm depth,,,,total,Soil fine-fraction bulk density (g /cm3),g / cm3  (square root transformed),Belowground,Abiotic,Soil,Soil_Compaction,,,,
Vandegehuchte et al. 2017 Oikos_50,SOIL_STRUCTURE,Soil_Compaction,soil,Soil,,0-10 cm depth,,,,total,Soil fine-fraction bulk density (g /cm3),g / cm3  (square root transformed),Belowground,Abiotic,Soil,Soil_Compaction,,,,
Kardol et al. 2014 Journal of Ecology_1,SOIL_STRUCTURE,Soil_Compaction,soil,,,0-10 cm depth,,,,soil,bulk density,g / cm3,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Zamin and Grogan 2013 Journal of Ecology_83,SOIL_STRUCTURE,Soil_Compaction,soil,Nutrients,,A horizon (up to 10cm depth),,,,density,Bulk density (g dw soil/cm3),g dw soil / cm3,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Ramirez et al. 2021 Ecosystems_1,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,,,,,compaction,Soil compaction,kPa,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Long et al. 2017 Biological Invasions_1,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,0-10 cm deep,,,,compaction,Bulk density,g / cm3,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Long et al. 2017 Biological Invasions_2,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,0-10 cm deep,,,,compaction,Bulk density,g / cm3,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_1,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,0-15 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_13,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,0-15 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_17,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,0-15 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_21,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,0-15 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_5,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,0-15 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_9,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,0-15 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Chollet et al. 2020 Ecology_3,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,0-30 cm depth,,,,soil,Bulk density,g dry soil / cm3,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Chollet et al. 2020 Ecology_4,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,0-30 cm depth,,,,soil,Bulk density,g dry soil / cm3,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_10,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,15-30 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_14,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,15-30 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_18,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,15-30 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_2,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,15-30 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
Binkley et al. 2003 Forest Ecology and Management_22,SOIL_STRUCTURE,Soil_Compaction,soil,Structure,,15-30 cm depth,,,,compaction,Bulk density,kg / l,Belowground,Abiotic,Soil,Soil_Compaction,,,,
